"","asset_name","etr.2021","etr.2022","etr.2023","etr.2024","etr.2025","etr.2026","etr.2027","etr.2028","etr.2029","etr.2030"
"1","Equipment",0.1905,0.19389,0.23334,0.26889,0.30172,0.33719,0.36449,0.36454,0.36468,0.3651
"11","Intellectual Property",0.05872,0.25497,0.2686,0.28154,0.29447,0.31259,0.32451,0.32456,0.32471,0.32515
"21","Inventories",0.45243,0.45453,0.4545,0.45431,0.45446,0.45906,0.45919,0.45923,0.45935,0.4597
"31","Land",0.41716,0.4196,0.41956,0.41936,0.41952,0.42442,0.42455,0.4246,0.42473,0.4251
"41","Overall",0.31816,0.33133,0.34214,0.35242,0.36278,0.37793,0.38756,0.3876,0.38774,0.38814
"51","Structures",0.33293,0.33568,0.34377,0.35149,0.35942,0.37233,0.3798,0.37985,0.37999,0.38039
