"","asset_name","etr.2021","etr.2022","etr.2023","etr.2024","etr.2025","etr.2026","etr.2027","etr.2028","etr.2029","etr.2030"
"1","Equipment",0.02165,0.02294,0.06406,0.10237,0.13786,0.19134,0.22793,0.22824,0.22846,0.22898
"11","Intellectual Property",-0.17162,0.04395,0.05884,0.07362,0.08772,0.13126,0.147,0.14738,0.14762,0.14819
"21","Inventories",0.30611,0.30686,0.30771,0.30869,0.3093,0.35179,0.35242,0.35273,0.35291,0.35343
"31","Land",0.25713,0.25806,0.25876,0.25963,0.26014,0.29512,0.29568,0.29601,0.29621,0.29671
"41","Overall",0.22298,0.22655,0.23086,0.23531,0.23942,0.27615,0.28082,0.28114,0.28135,0.28186
"51","Structures",0.21298,0.21395,0.21776,0.22171,0.22535,0.25906,0.26323,0.26355,0.26376,0.26428
