"","asset_name","etr.2020","etr.2021","etr.2022","etr.2023","etr.2024","etr.2025","etr.2026","etr.2027","etr.2028","etr.2029"
"1","Equipment","0.0749126908039661","0.0776470455794243","0.109374383323736","0.139301812289023","0.167449751393376","0.209537933345348","0.236146395944197","0.236441514182268","0.236776304723222","0.237248909452745"
"11","Intellectual Property","-0.0548665672203811","0.104705716366287","0.116650792736417","0.128545285160483","0.140230421245428","0.168701338297774","0.180245983462099","0.18055212149682","0.180908378961172","0.181420250228996"
"21","Inventories","0.299589853897514","0.301379568343499","0.301677431767991","0.30213876563852","0.302624658214079","0.330668148978506","0.331056855050457","0.331392521985721","0.33170839459004","0.33216426719436"
"31","Land","0.245225184195209","0.246597633944352","0.247108201292418","0.247715372059925","0.248316504879098","0.287561294406463","0.288010351328966","0.288445446199803","0.288769785857859","0.289245635002999"
"41","Overall","0.196247591085402","0.204104417686673","0.21098916333836","0.217913033073435","0.224757961183762","0.258514560314668","0.265310254636151","0.265667991803601","0.26599711588699","0.266471677928684"
"51","Structures","0.201358049333109","0.203520726848143","0.209291443882632","0.215174095567769","0.221016747252907","0.248937564767681","0.254766488182183","0.255087654138551","0.255414041068681","0.255887654138551"
"7","Debt Financed","0.180316028727965","0.197892127797375","0.205342859358965","0.213124320755117","0.220940198110917","0.241479841828767","0.249617616524161","0.250812543483137","0.25169466023364","0.253209952109897"
"8","Equity Financed","0.20115358390341","0.206676541345282","0.213475885415256","0.220248733151673","0.226892456804701","0.263830767362507","0.27035576822602","0.270510001727026","0.270710001727026","0.270940877643637"
"9","Standard Deviation","0.106462327880525","0.0924061625783103","0.0805070188311738","0.070236028464488","0.061643436933407","0.0574096167272221","0.0505678104590695","0.0505803971787008","0.0505750100517416","0.0505635606590983"
