,asset_name,assets,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,ucc_mix,z_mix,year
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.21183,0.42729,0.38958,corporate,0.21893,0.70777,2020
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.21229,0.42717,0.38956,corporate,0.21893,0.70777,2021
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.21271,0.42709,0.38957,corporate,0.21893,0.70777,2022
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.21343,0.42714,0.38973,corporate,0.21893,0.70777,2023
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.21412,0.42725,0.38995,corporate,0.21893,0.70777,2024
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.23897,0.43145,0.39776,corporate,0.21893,0.70777,2025
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.23998,0.43157,0.39803,corporate,0.21893,0.70777,2026
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.24105,0.43156,0.39822,corporate,0.21893,0.70777,2027
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.24183,0.43172,0.39848,corporate,0.21893,0.70777,2028
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.24311,0.43191,0.39886,corporate,0.21893,0.70777,2029
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.05255,0.37223,0.32040,corporate,0.24251,0.76057,2020
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.05310,0.37210,0.32039,corporate,0.24251,0.76057,2021
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.05361,0.37201,0.32039,corporate,0.24251,0.76057,2022
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.05448,0.37206,0.32058,corporate,0.24251,0.76057,2023
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.05531,0.37218,0.32081,corporate,0.24251,0.76057,2024
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.08517,0.37678,0.32951,corporate,0.24251,0.76057,2025
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.08638,0.37691,0.32981,corporate,0.24251,0.76057,2026
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.08767,0.37691,0.33002,corporate,0.24251,0.76057,2027
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.08861,0.37708,0.33032,corporate,0.24251,0.76057,2028
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.09015,0.37729,0.33074,corporate,0.24251,0.76057,2029
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.31771,0.46211,0.43530,corporate,0.07951,0.00000,2020
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.31811,0.46200,0.43529,corporate,0.07951,0.00000,2021
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.31847,0.46193,0.43529,corporate,0.07951,0.00000,2022
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.31910,0.46197,0.43544,corporate,0.07951,0.00000,2023
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.31969,0.46208,0.43564,corporate,0.07951,0.00000,2024
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.34120,0.46602,0.44287,corporate,0.07951,0.00000,2025
