"","asset_name","etr.2020","etr.2021","etr.2022","etr.2023","etr.2024","etr.2025","etr.2026","etr.2027","etr.2028","etr.2029"
"1","Equipment","0.102456336763475","0.105670455062793","0.147610765912504","0.185803134165886","0.220971877411613","0.262519353427138","0.293636616797879","0.293766525576904","0.293944339765473","0.294377782331178"
"11","Intellectual Property","-0.0380065024314862","0.17228082989955","0.186999602292606","0.201155036951631","0.215032522022927","0.238449988207263","0.251758973055394","0.251881368554467","0.252070724893587","0.252527566304003"
"21","Inventories","0.371459745636237","0.373270322700923","0.373623401780089","0.373948883017538","0.374284118643453","0.392823394069314","0.393150806213216","0.393303208371499","0.393450600544162","0.393856041839131"
"31","Land","0.289551299267683","0.290966012778212","0.29150356115211","0.292114694909762","0.292534129438655","0.319584184808944","0.32003097797006","0.320270223695758","0.320441733182842","0.320900601302149"
"41","Overall","0.247006652202088","0.256399464713263","0.264718115900942","0.272824175715382","0.280737060404068","0.306307931715275","0.31404300590765","0.31422249490832","0.314396181033404","0.314837239408656"
"51","Structures","0.257825941619315","0.260195774758759","0.267190918242833","0.274023102150552","0.280790763263459","0.301650215157057","0.308302796326864","0.308453123073621","0.308630349213362","0.309062866842194"
"7","Debt Financed","0.177573971490112","0.202508540439912","0.21255109773926","0.222899311832148","0.23256949659349","0.245481293438437","0.255266003289206","0.256217244123098","0.257182353540715","0.258782207458667"
"8","Equity Financed","0.262659036829278","0.269047177017628","0.277087470333075","0.284788858400365","0.292383020299536","0.321552793404846","0.328897028057203","0.328904765224652","0.328891079099568","0.329070203182958"
"9","Standard Deviation","0.129119194409581","0.114463624295824","0.10011944976178","0.0886079747274799","0.0798487038759281","0.0696326093888826","0.0638109293138761","0.0637531293423834","0.0637327183164787","0.0636949681746791"
