"","asset_name","etr.2020","etr.2021","etr.2022","etr.2023","etr.2024","etr.2025","etr.2026","etr.2027","etr.2028","etr.2029"
"1","Equipment",0.09524,0.09855,0.1291,0.15791,0.18499,0.22103,0.24463,0.24486,0.2452,0.24567
"11","Intellectual Property",-0.03403,0.12136,0.13303,0.14467,0.15611,0.17846,0.1892,0.18945,0.18981,0.19032
"21","Inventories",0.31749,0.31986,0.31984,0.32005,0.32034,0.32977,0.33007,0.33028,0.33057,0.331
"31","Land",0.28524,0.28786,0.28784,0.28806,0.28836,0.29823,0.29855,0.29877,0.29908,0.29952
"41","Overall",0.19602,0.20774,0.21707,0.22643,0.23567,0.25486,0.26358,0.26381,0.26413,0.2646
"51","Structures",0.21031,0.21317,0.22018,0.22731,0.23441,0.25159,0.25838,0.2586,0.25893,0.2594
