"","asset_name","etr.2020","etr.2021","etr.2022","etr.2023","etr.2024","etr.2025","etr.2026","etr.2027","etr.2028","etr.2029"
"1","Equipment",0.0172,0.0183,0.05337,0.08647,0.11765,0.17691,0.21206,0.21254,0.21286,0.21334
"11","Intellectual Property",-0.14538,0.03236,0.0455,0.0585,0.07125,0.12631,0.14135,0.1419,0.14224,0.14276
"21","Inventories",0.26906,0.26986,0.2707,0.27159,0.27241,0.3322,0.33274,0.33329,0.33365,0.33415
"31","Land",0.22943,0.23031,0.23103,0.23179,0.23251,0.28335,0.28385,0.28437,0.2847,0.28519
"41","Overall",0.19665,0.19989,0.20386,0.20788,0.21187,0.26299,0.26748,0.26799,0.26833,0.26881
"51","Structures",0.18594,0.18687,0.19045,0.19411,0.19773,0.24462,0.24875,0.24925,0.24957,0.25005
